1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.652134	0.000000	24.778075	0.007393	65.7
1	-0.632421	0.000000	24.778075	0.006698	0.7
2	-0.640767	0.000000	24.778075	0.004368	0.6
3	-0.666165	0.970524	23.683531	0.015300	0.7
4	-0.631566	0.213270	24.528966	0.012179	0.6
5	-0.623190	0.000000	24.778075	0.004730	0.6
6	-0.659175	0.000000	24.778075	0.009320	0.6
7	-0.655198	0.982077	23.671083	0.012416	0.6
8	-0.655108	0.224824	24.515613	0.010297	0.6
9	-0.660788	0.000000	24.778075	0.004400	0.6
10	-0.641152	0.999956	23.651846	0.006435	0.5
11	-0.634926	1.918739	22.703674	0.007958	0.8
12	-0.633170	1.162129	23.478772	0.008803	0.7
13	-0.630373	0.404875	24.309396	0.009785	0.7
14	-0.635471	1.403932	23.225369	0.006265	0.7
15	-0.668240	2.403932	22.232998	0.004945	0.6
16	-0.621409	1.646738	22.976359	0.010383	0.7
17	-0.620351	2.646638	22.004802	0.004809	0.7
18	-0.634128	1.946283	22.676421	0.011017	0.6
19	-0.627438	2.946283	21.729451	0.005654	0.7
20	-0.667351	2.189028	22.439042	0.010309	0.7
21	-0.633509	1.431774	23.196541	0.009052	0.6
22	-0.627893	0.674520	24.006971	0.005572	0.7
23	-0.636944	0.000000	24.778075	0.007605	0.7
24	-0.652134	0.000000	24.778075	0.010660	0.6
25	-0.644738	0.000000	24.778075	0.003621	0.6
26	-0.666206	0.000000	24.778075	0.005601	0.6
27	-0.636153	0.000000	24.778075	0.008514	0.7
28	-0.638193	0.000000	24.778075	0.007514	0.6
29	-0.638529	0.975897	23.677740	0.012267	0.7
30	-0.644615	1.975897	22.647194	0.004689	0.7
31	-0.654394	2.975737	21.702756	0.010417	0.6
32	-0.656498	3.975729	20.833810	0.004549	0.5
33	-0.648839	3.219735	21.484115	0.008280	0.6
34	-0.654354	2.462481	22.177518	0.005943	0.6
35	-0.621648	2.305495	22.326905	0.005185	0.6
36	-0.619990	3.304944	21.408796	0.004834	0.7
37	-0.663355	2.571701	22.074757	0.006480	0.7
38	-0.648693	1.814537	22.807370	0.004749	0.6
39	-0.669995	1.057283	23.590375	0.010041	0.6
40	-0.646999	0.300335	24.428704	0.006189	0.6
41	-0.637817	1.300333	23.333265	0.007391	0.6
42	-0.664083	0.592769	24.097862	0.004068	0.6
43	-0.639872	0.000000	24.778075	0.011724	0.6
44	-0.658371	0.878417	23.783237	0.013846	0.6
45	-0.631236	1.878417	22.743688	0.006278	0.6
46	-0.645593	2.872034	21.797036	0.006870	0.6
47	-0.643551	2.114780	22.511120	0.005077	0.6
48	-0.667250	3.072286	21.615711	0.009321	0.6
49	-0.646589	4.072284	20.753577	0.007529	0.6
50	-0.622957	3.315285	21.399691	0.007367	0.6
51	-0.647447	4.315284	20.554365	0.008718	0.6
52	-0.637401	4.582365	20.339776	0.009917	0.6
53	-0.628440	5.582365	19.574615	0.006111	0.7
54	-0.646118	4.825111	20.148590	0.003562	0.6
55	-0.655263	4.076581	20.750021	0.008322	0.6
