1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.603371	0.000000	6.968182	0.012848	115.9
1	-0.635997	0.000000	6.968182	0.011488	0.8
2	-0.614842	0.000000	6.968182	0.018959	0.7
3	-0.624428	0.999570	6.651576	0.003600	0.7
4	-0.633760	1.790956	6.420609	0.014950	0.7
5	-0.618918	2.256285	6.292141	0.015700	0.7
6	-0.594225	1.322596	6.555322	0.010417	0.7
7	-0.611605	2.322552	6.274263	0.009904	0.7
8	-0.599292	1.396018	6.533832	0.009604	0.6
9	-0.591706	2.372233	6.260926	0.016351	0.7
10	-0.617542	3.296473	6.022760	0.008340	0.6
11	-0.618699	4.296465	5.784674	0.016753	0.7
12	-0.631307	3.366669	6.005409	0.020978	0.6
13	-0.603172	4.365677	5.768891	0.018351	0.7
14	-0.632505	3.431988	5.989353	0.026036	0.6
15	-0.581667	2.498300	6.227336	0.013277	0.7
16	-0.619261	1.564612	6.485014	0.012534	0.8
17	-0.609788	0.630924	6.764936	0.007691	0.6
18	-0.654819	0.000000	6.968182	0.014378	0.7
19	-0.617416	0.999990	6.651449	0.017411	0.7
20	-0.607539	1.999989	6.362256	0.006841	0.7
21	-0.626415	2.996537	6.098039	0.007945	0.7
22	-0.604904	2.066986	6.343777	0.012726	0.7
23	-0.574379	3.066955	6.080196	0.016955	0.6
24	-0.606292	4.066955	5.837638	0.007068	0.8
25	-0.582640	5.065550	5.613993	0.006888	0.6
26	-0.603244	6.052881	5.409103	0.018946	0.7
27	-0.619331	7.052875	5.216286	0.015822	0.7
28	-0.594694	8.052875	5.036741	0.009963	0.6
29	-0.608270	7.891006	5.064961	0.010637	0.7
30	-0.602144	7.641039	5.109166	0.010421	0.6
31	-0.598659	7.048105	5.217173	0.009396	0.6
32	-0.598428	7.985737	5.048408	0.006705	0.7
33	-0.606495	8.961637	4.883973	0.016299	0.6
34	-0.632856	8.867637	4.899343	0.004515	0.7
35	-0.639565	9.807527	4.749872	0.009874	0.6
36	-0.613112	9.754792	4.758017	0.023418	0.7
37	-0.624226	8.830281	4.905479	0.025535	0.6
38	-0.595449	7.896592	5.063982	0.012980	0.6
39	-0.593486	6.962904	5.233069	0.013221	0.6
40	-0.618067	7.808312	5.079500	0.011573	0.7
41	-0.620407	6.874624	5.249643	0.011539	0.7
42	-0.624399	5.940945	5.431577	0.012786	0.7
43	-0.622157	5.007257	5.626576	0.012050	0.6
44	-0.602442	4.079890	5.834627	0.013203	0.7
45	-0.630459	5.076476	5.611641	0.011151	0.7
46	-0.652146	6.076476	5.404389	0.024553	0.7
47	-0.587924	5.142790	5.597406	0.008066	0.7
48	-0.618017	4.236096	5.798512	0.010883	0.6
49	-0.598404	3.515277	5.969005	0.014127	0.7
50	-0.610709	4.515277	5.735067	0.009749	0.7
51	-0.607060	5.458046	5.530711	0.017992	0.6
52	-0.616074	4.524361	5.733026	0.009294	0.6
53	-0.614410	3.592052	5.950370	0.013973	0.7
54	-0.603272	2.659093	6.185014	0.006785	0.6
55	-0.623250	3.659066	5.934199	0.017454	0.7
56	-0.631340	2.776588	6.154450	0.014465	0.7
57	-0.619642	1.842899	6.406009	0.011178	0.7
58	-0.654933	0.909211	6.679009	0.011612	0.7
59	-0.635684	1.909101	6.387497	0.014285	0.6
60	-0.597944	0.975415	6.658887	0.009343	0.7
61	-0.626504	0.041843	6.954325	0.015855	0.7
62	-0.656814	0.000000	6.968182	0.009604	0.7
63	-0.606730	0.000000	6.968182	0.013932	0.6
64	-0.612385	0.000000	6.968182	0.011235	0.8
65	-0.589988	0.000000	6.968182	0.006498	0.6
66	-0.649394	0.955987	6.664780	0.008675	0.7
67	-0.618193	1.932760	6.380907	0.018773	0.7
68	-0.633342	1.018130	6.645969	0.005595	0.7
69	-0.623729	0.084495	6.940257	0.017339	0.6
70	-0.629160	0.000000	6.968182	0.013960	0.6
71	-0.647030	0.000000	6.968182	0.005877	0.7
72	-0.590776	0.000000	6.968182	0.012915	0.7
73	-0.605863	0.000000	6.968182	0.021346	0.7
74	-0.622668	0.000000	6.968182	0.008439	0.7
75	-0.642613	0.999995	6.651448	0.011291	0.6
76	-0.616264	1.940685	6.378703	0.017965	0.7
77	-0.656000	1.007000	6.649330	0.014490	0.7
78	-0.643897	2.007000	6.360317	0.016396	0.6
79	-0.618548	3.007000	6.095381	0.009696	0.7
80	-0.632815	2.073373	6.342021	0.007836	0.7
81	-0.633148	2.778259	6.154017	0.012022	0.7
82	-0.616469	1.853221	6.403116	0.007869	0.7
83	-0.623977	2.852675	6.134818	0.013813	0.8
84	-0.578703	3.751133	5.912126	0.007245	0.8
85	-0.600366	3.723458	5.918744	0.011353	0.6
86	-0.607404	2.809404	6.145967	0.013633	0.6
87	-0.591226	1.875811	6.396793	0.005287	0.7
88	-0.601264	0.958062	6.664150	0.009356	0.7
89	-0.618894	0.223214	6.894894	0.012351	0.7
90	-0.599912	0.160187	6.915431	0.018707	0.6
91	-0.586768	1.160187	6.603365	0.005317	0.7
92	-0.613465	1.971307	6.370200	0.014353	0.6
