1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.055892	0.000000	8.779472	0.003089	27.5
1	-0.052583	0.000000	8.779472	0.004640	0.5
2	-0.070566	0.134962	8.723408	0.003697	0.5
3	-0.072632	1.134817	8.329362	0.003756	0.5
4	-0.065451	1.731147	8.110849	0.005562	0.5
5	-0.074585	0.781160	8.464604	0.006890	0.5
6	-0.059141	1.781147	8.093047	0.004029	0.5
7	-0.061614	0.809669	8.453540	0.005015	0.6
8	-0.054665	0.000000	8.779472	0.003991	0.5
9	-0.060670	0.996555	8.381717	0.004139	0.5
10	-0.055245	0.057237	8.755608	0.002761	0.5
11	-0.066236	0.739046	8.481003	0.006623	0.5
12	-0.078215	1.732858	8.110239	0.006338	0.5
13	-0.066471	2.732858	7.768508	0.006074	0.5
14	-0.063748	1.761386	8.100074	0.006130	0.5
15	-0.055798	2.286520	7.917409	0.007278	0.5
16	-0.060108	1.316989	8.261370	0.004878	0.5
17	-0.059255	2.316848	7.907111	0.004279	0.5
18	-0.057895	3.315470	7.582371	0.002571	0.5
19	-0.069666	2.353692	7.894636	0.004430	0.5
20	-0.061783	2.051447	7.998149	0.005187	0.5
21	-0.058146	1.164509	8.318204	0.005465	0.5
22	-0.060783	1.866733	8.062757	0.007188	0.5
23	-0.057693	1.048713	8.361890	0.004048	0.6
24	-0.056312	0.109364	8.733987	0.003723	0.6
25	-0.069894	0.000000	8.779472	0.002321	0.5
26	-0.058834	0.000000	8.779472	0.008094	0.5
27	-0.059677	0.523650	8.565875	0.003190	0.7
28	-0.059775	0.000000	8.779472	0.006860	0.5
29	-0.059717	0.000000	8.779472	0.009191	0.5
30	-0.057509	1.000000	8.380405	0.003395	0.5
31	-0.063289	0.349940	8.635570	0.007478	0.5
32	-0.070262	0.000000	8.779472	0.005126	0.6
33	-0.056035	1.000000	8.380405	0.005438	0.5
34	-0.054676	1.999983	8.016045	0.005229	0.5
35	-0.061556	1.028505	8.369560	0.005207	0.5
36	-0.061356	0.060811	8.754122	0.005723	0.5
37	-0.049724	0.000000	8.779472	0.004642	0.5
38	-0.064056	0.000000	8.779472	0.007943	0.5
39	-0.054914	0.956788	8.396898	0.006673	0.5
40	-0.055868	0.000000	8.779472	0.003815	0.5
41	-0.061398	0.999338	8.380657	0.005457	0.5
42	-0.055158	1.997594	8.016878	0.009324	0.5
43	-0.076894	1.026116	8.370468	0.007795	0.6
44	-0.061322	2.026116	8.006948	0.005620	0.5
45	-0.071965	3.026116	7.673687	0.004263	0.5
46	-0.073615	2.079407	7.988459	0.005207	0.5
47	-0.072428	3.013180	7.677821	0.004540	0.5
48	-0.062928	3.885971	7.408548	0.003888	0.5
49	-0.061652	4.872945	7.125934	0.004623	0.5
50	-0.057950	5.871907	6.861028	0.003155	0.5
51	-0.057708	6.307583	6.751564	0.006835	0.5
52	-0.069136	5.582491	6.935727	0.005567	0.5
53	-0.059930	4.613870	7.198011	0.003938	0.5
54	-0.068006	5.612668	6.927862	0.003219	0.5
55	-0.062156	6.586124	6.683393	0.003986	0.5
56	-0.064909	6.930293	6.601037	0.004792	0.5
57	-0.057037	7.929473	6.373047	0.005092	0.5
58	-0.077269	8.929473	6.160112	0.004377	0.7
59	-0.066827	8.893235	6.167580	0.005611	0.5
60	-0.058002	7.922907	6.374494	0.007664	0.6
61	-0.056973	8.922907	6.161464	0.003794	0.5
62	-0.077076	7.952067	6.368074	0.004954	0.5
63	-0.061579	6.980652	6.589157	0.002827	0.5
64	-0.050890	7.266030	6.522632	0.005115	0.5
65	-0.062524	8.243365	6.304641	0.003160	0.5
66	-0.059681	7.273244	6.520967	0.004921	0.5
67	-0.062034	6.308308	6.751385	0.006161	0.5
68	-0.071225	7.308308	6.512890	0.005986	0.5
69	-0.056702	6.336887	6.744327	0.004783	0.5
70	-0.062442	5.374249	6.990489	0.004937	0.5
71	-0.054030	5.784851	6.883328	0.003152	0.5
72	-0.063500	5.761975	6.889211	0.004512	0.5
73	-0.049587	6.372885	6.735458	0.004865	0.5
74	-0.065521	5.435230	6.974363	0.007290	0.5
75	-0.063049	6.435230	6.720152	0.009131	0.5
76	-0.063376	5.463752	6.966847	0.003054	0.5
77	-0.059190	6.463751	6.713173	0.007562	0.5
78	-0.066733	5.492277	6.959345	0.003879	0.5
79	-0.065860	6.492277	6.706207	0.007047	0.5
80	-0.061593	5.520799	6.951861	0.004566	0.5
81	-0.053664	6.517095	6.700159	0.004346	0.5
82	-0.059497	6.236810	6.769108	0.002854	0.5
83	-0.054669	7.223517	6.532457	0.005588	0.5
84	-0.060482	6.945495	6.597446	0.006406	0.5
85	-0.058534	5.974088	6.835038	0.003798	0.5
86	-0.068321	5.422182	6.977808	0.006339	0.6
87	-0.060241	4.457922	7.242104	0.003079	0.6
88	-0.060404	5.435214	6.974368	0.003287	0.5
89	-0.061625	5.257850	7.021478	0.005431	0.5
90	-0.065494	5.760966	6.889471	0.004894	0.5
91	-0.059458	6.746941	6.644657	0.004543	0.5
92	-0.076426	5.778914	6.884854	0.004977	0.6
93	-0.068225	6.776710	6.637536	0.008925	0.6
94	-0.057546	5.805232	6.878094	0.005637	0.7
95	-0.065910	4.845313	7.133553	0.006239	0.5
96	-0.065613	3.874668	7.411914	0.006809	0.5
97	-0.058398	4.874668	7.125460	0.003435	0.5
98	-0.066939	5.874583	6.860345	0.006584	0.5
99	-0.076859	6.874473	6.614256	0.005547	0.5
100	-0.058627	7.874396	6.385204	0.003537	0.5
101	-0.059374	6.933066	6.600382	0.006148	0.5
102	-0.058988	7.926273	6.373753	0.003125	0.5
103	-0.065640	6.974808	6.590533	0.004625	0.5
104	-0.056242	7.256170	6.524908	0.005649	0.5
