1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.259643	0.000000	38.980396	0.005588	11.1
1	-0.260081	0.000000	38.980396	0.008449	0.4
2	-0.252186	0.000000	38.980396	0.004413	0.5
3	-0.278010	0.000000	38.980396	0.007540	0.4
4	-0.263989	0.000000	38.980396	0.007347	0.4
5	-0.248515	0.000000	38.980396	0.006928	0.5
6	-0.267790	0.000000	38.980396	0.006402	0.5
7	-0.257019	0.000000	38.980396	0.008213	0.5
8	-0.254873	0.000000	38.980396	0.006420	0.4
9	-0.238946	0.000000	38.980396	0.004407	0.5
10	-0.272546	0.000000	38.980396	0.006421	0.4
11	-0.250646	0.000000	38.980396	0.005216	0.4
12	-0.297238	0.000000	38.980396	0.005283	0.4
13	-0.277610	0.000000	38.980396	0.005816	0.4
14	-0.285563	0.000000	38.980396	0.008126	0.4
15	-0.275845	0.000000	38.980396	0.006347	0.4
16	-0.286895	0.000000	38.980396	0.006599	0.5
17	-0.273459	0.000000	38.980396	0.005899	0.4
18	-0.266825	0.000000	38.980396	0.006199	0.4
19	-0.289516	0.000000	38.980396	0.005277	0.4
20	-0.268567	0.000000	38.980396	0.005134	0.5
21	-0.269466	0.000000	38.980396	0.005482	0.4
22	-0.272717	0.000000	38.980396	0.004819	0.4
23	-0.258515	0.000000	38.980396	0.006548	0.4
24	-0.252542	0.000000	38.980396	0.005151	0.4
25	-0.267532	0.000000	38.980396	0.005305	0.4
26	-0.258922	0.000000	38.980396	0.004850	0.4
27	-0.304367	0.000000	38.980396	0.004620	0.5
28	-0.294330	0.000000	38.980396	0.006270	0.5
29	-0.281690	0.000000	38.980396	0.004710	0.6
30	-0.270939	0.000000	38.980396	0.006242	0.5
31	-0.265470	0.834808	37.490063	0.004907	0.4
32	-0.277351	0.530953	38.019140	0.005640	0.4
33	-0.266722	0.227099	38.563363	0.004591	0.4
34	-0.275805	0.000000	38.980396	0.005224	0.4
35	-0.289272	0.000000	38.980396	0.003622	0.4
36	-0.309415	0.000000	38.980396	0.001968	0.5
37	-0.245847	0.000000	38.980396	0.004416	0.4
38	-0.289761	0.000000	38.980396	0.004235	0.4
39	-0.278259	0.000000	38.980396	0.004854	0.4
40	-0.289467	0.000000	38.980396	0.004062	0.4
41	-0.302908	0.000000	38.980396	0.004143	0.4
42	-0.279400	0.000000	38.980396	0.007090	0.5
43	-0.286132	0.000000	38.980396	0.003726	0.5
44	-0.285307	0.000000	38.980396	0.004053	0.5
45	-0.286096	0.000000	38.980396	0.002777	0.4
46	-0.295863	0.000000	38.980396	0.003224	0.6
