1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.320757	0.000000	36.207450	0.006835	12.1
1	-0.367497	0.000000	36.207450	0.010095	0.5
2	-0.347317	0.000000	36.207450	0.005293	0.5
3	-0.336308	0.972010	34.605684	0.003138	0.5
4	-0.331426	0.906533	34.709118	0.013309	0.5
5	-0.362264	1.906518	33.193890	0.004742	0.5
6	-0.334982	1.617543	33.617995	0.008591	0.5
7	-0.350930	1.328568	34.053077	0.009546	0.6
8	-0.347033	1.039593	34.499568	0.012256	0.5
9	-0.356426	0.750618	34.957924	0.011582	0.5
10	-0.368149	0.461643	35.428623	0.008499	0.5
11	-0.356610	0.172668	35.912170	0.012016	0.5
12	-0.363395	0.000000	36.207450	0.008891	0.5
13	-0.376941	0.000000	36.207450	0.004156	0.5
14	-0.354795	0.000000	36.207450	0.010961	0.5
15	-0.418534	0.000000	36.207450	0.015244	0.5
16	-0.398188	0.000000	36.207450	0.005657	0.5
17	-0.366970	0.000000	36.207450	0.014201	0.5
18	-0.402367	0.000000	36.207450	0.002969	0.5
19	-0.378346	0.995803	34.568251	0.006203	0.5
20	-0.399240	0.711750	35.020505	0.009778	0.5
21	-0.447157	0.422775	35.492902	0.008409	0.5
22	-0.369307	0.133800	35.978217	0.007717	0.5
23	-0.418286	0.000000	36.207450	0.003730	0.5
24	-0.384131	0.947943	34.643632	0.004025	0.5
25	-0.390806	1.009551	34.546658	0.007026	0.5
26	-0.349742	2.006626	33.049456	0.005023	0.5
27	-0.390189	1.719141	33.467659	0.003862	0.5
28	-0.393465	1.430166	33.898833	0.005838	0.5
29	-0.409504	1.141491	34.340797	0.008272	0.5
30	-0.388734	0.852516	34.794916	0.006401	0.5
31	-0.426436	0.563541	35.261206	0.011151	0.5
32	-0.367941	0.274566	35.740163	0.006784	0.5
33	-0.404778	0.000000	36.207450	0.015357	0.5
34	-0.412233	0.000000	36.207450	0.015654	0.5
35	-0.423660	0.000000	36.207450	0.022612	0.5
36	-0.394882	0.000000	36.207450	0.014351	0.5
37	-0.441205	0.000000	36.207450	0.009922	0.5
38	-0.459054	0.000000	36.207450	0.015170	0.5
39	-0.451029	0.000000	36.207450	0.004914	0.6
40	-0.448548	0.000000	36.207450	0.013185	0.5
41	-0.425312	0.000000	36.207450	0.011805	0.5
42	-0.443949	0.000000	36.207450	0.007789	0.5
43	-0.424527	0.000000	36.207450	0.013189	0.5
44	-0.447898	0.000000	36.207450	0.014515	0.5
45	-0.495307	0.000000	36.207450	0.015475	0.5
46	-0.497780	0.000000	36.207450	0.008780	0.5
47	-0.481230	0.000000	36.207450	0.018915	0.5
48	-0.478202	0.000000	36.207450	0.018613	0.6
49	-0.522487	0.000000	36.207450	0.008930	0.5
50	-0.482115	0.000000	36.207450	0.007016	0.6
51	-0.515140	1.000000	34.561657	0.012161	0.6
52	-0.505385	2.000000	33.058976	0.012635	0.5
53	-0.492600	1.711025	33.479618	0.009555	0.5
54	-0.486285	1.422050	33.911103	0.010849	0.5
55	-0.507695	1.133075	34.353855	0.018657	0.5
56	-0.517830	0.844100	34.808321	0.010646	0.5
57	-0.535583	0.555125	35.274973	0.018708	0.6
58	-0.505955	0.266150	35.754307	0.011063	0.5
59	-0.535390	0.000000	36.207450	0.019206	0.5
60	-0.540467	0.000000	36.207450	0.013613	0.5
61	-0.545961	0.000000	36.207450	0.017121	0.6
62	-0.568647	0.000000	36.207450	0.010234	0.6
63	-0.566348	0.000000	36.207450	0.014780	0.6
64	-0.598320	0.000000	36.207450	0.005434	0.5
65	-0.582945	0.000000	36.207450	0.017530	0.5
66	-0.602133	0.000000	36.207450	0.016544	0.5
