1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.136177	0.000000	37.523851	0.002788	61.1
1	-0.127949	0.000000	37.523851	0.003873	0.5
2	-0.155712	0.000000	37.523851	0.002928	0.5
3	-0.136141	1.000000	35.818222	0.002700	0.5
4	-0.142383	0.091901	37.360354	0.003155	0.5
5	-0.144916	0.000000	37.523851	0.001876	0.5
6	-0.142848	0.000000	37.523851	0.003024	0.5
7	-0.147904	0.000000	37.523851	0.001410	0.6
8	-0.143186	0.999716	35.818684	0.001920	0.7
9	-0.132458	1.073876	35.698346	0.004067	0.7
10	-0.152995	2.073876	34.151215	0.004114	0.6
11	-0.159734	1.165744	35.550391	0.002485	0.9
12	-0.138733	0.257615	37.069110	0.003884	0.8
13	-0.146440	1.257425	35.403955	0.001721	0.7
14	-0.135486	0.349454	36.909651	0.001017	0.7
15	-0.134254	0.000000	37.523851	0.002347	0.5
16	-0.149362	0.000000	37.523851	0.004043	0.6
17	-0.157075	1.000000	35.818222	0.002824	0.5
18	-0.148069	0.091872	37.360404	0.002464	0.6
19	-0.135556	0.000000	37.523851	0.002848	0.6
20	-0.163904	0.000000	37.523851	0.002950	0.5
21	-0.154972	0.999513	35.819015	0.003856	0.5
22	-0.137731	0.091382	37.361272	0.002022	0.5
23	-0.137178	0.000000	37.523851	0.003453	0.6
24	-0.138501	0.999641	35.818806	0.002665	0.5
25	-0.137637	1.999640	34.261444	0.002955	0.5
26	-0.144419	2.999640	32.833863	0.001173	0.6
27	-0.135836	2.139502	34.054358	0.002574	0.5
28	-0.144739	1.233298	35.442375	0.003664	0.5
29	-0.154107	2.233298	33.916876	0.003037	0.4
30	-0.151439	1.540219	34.959771	0.002126	0.5
31	-0.132489	0.686005	36.336839	0.002877	0.5
32	-0.151533	1.685935	34.735217	0.001897	0.4
33	-0.147476	0.777864	36.183570	0.004001	0.4
34	-0.129786	0.591117	36.496530	0.002084	0.5
35	-0.126779	1.590991	34.881200	0.003942	0.5
36	-0.141270	2.590987	33.402624	0.003756	0.5
37	-0.165082	1.682856	34.739932	0.002983	0.4
38	-0.140165	2.682856	33.273051	0.004698	0.4
39	-0.139024	1.774725	34.599798	0.004158	0.5
40	-0.144664	0.866594	36.036746	0.002886	0.5
41	-0.145532	0.000000	37.523851	0.003227	0.4
42	-0.124520	0.999994	35.818231	0.002882	0.4
43	-0.131968	0.105282	37.336667	0.003200	0.4
44	-0.132473	1.105275	35.647639	0.002259	0.5
45	-0.133887	0.197146	37.174857	0.002490	0.4
46	-0.137944	0.000000	37.523851	0.004655	0.5
47	-0.128029	0.999695	35.818718	0.002954	0.5
48	-0.138204	0.091564	37.360951	0.001777	0.5
49	-0.144757	0.000000	37.523851	0.003564	0.4
50	-0.142169	0.000000	37.523851	0.005159	0.5
