1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.526796	0.000000	4.765465	0.017264	495.8
1	-0.509431	0.000000	4.765465	0.016310	0.6
2	-0.501327	0.999978	4.548858	0.025748	0.6
3	-0.530264	0.055753	4.752847	0.010195	0.6
4	-0.533345	0.000000	4.765465	0.008585	0.6
5	-0.495807	0.000000	4.765465	0.014549	0.5
6	-0.503688	0.981288	4.552725	0.010435	0.5
7	-0.515634	0.813189	4.587810	0.019509	0.6
8	-0.499454	0.706868	4.610281	0.010689	0.6
9	-0.506514	1.706827	4.407255	0.008247	0.6
10	-0.509401	1.721153	4.404476	0.020743	0.6
11	-0.497692	0.820284	4.586318	0.016689	0.6
12	-0.504559	0.000000	4.765465	0.013902	0.5
13	-0.494732	0.035247	4.757480	0.025698	0.6
14	-0.518080	0.000000	4.765465	0.010268	0.6
15	-0.511720	0.000000	4.765465	0.019642	0.7
16	-0.511677	0.999437	4.548970	0.017186	0.5
17	-0.507159	0.054225	4.753192	0.016357	0.5
18	-0.529248	1.052158	4.538094	0.019292	0.6
19	-0.519936	2.044457	4.342683	0.020092	0.6
20	-0.465819	1.099196	4.528435	0.017837	0.6
21	-0.513236	2.099195	4.332392	0.014614	0.5
22	-0.517033	2.694168	4.223603	0.014535	0.6
23	-0.495005	3.034297	4.163832	0.016902	0.6
24	-0.521805	2.089989	4.334119	0.015930	0.6
25	-0.519500	1.145639	4.518938	0.027225	0.6
26	-0.510709	0.200388	4.720422	0.015700	0.6
27	-0.508796	1.199421	4.507990	0.019298	0.6
28	-0.493582	0.254168	4.708477	0.023887	0.6
29	-0.508931	0.000000	4.765465	0.014422	0.7
30	-0.513926	0.999982	4.548857	0.024065	0.6
31	-0.498434	0.054721	4.753080	0.012717	0.6
32	-0.509697	1.054721	4.537567	0.010016	0.6
33	-0.531679	0.110118	4.740607	0.012704	0.6
34	-0.486570	1.106955	4.526846	0.012369	0.6
35	-0.511952	0.758147	4.599416	0.016376	0.6
36	-0.519852	0.000000	4.765465	0.013527	0.7
37	-0.540900	0.868452	4.576216	0.022917	0.6
38	-0.512936	1.868449	4.376106	0.018909	0.6
39	-0.524718	0.923188	4.564791	0.020736	0.6
40	-0.502670	0.000000	4.765465	0.015523	0.5
41	-0.489422	0.000000	4.765465	0.016353	0.6
42	-0.469195	1.000000	4.548853	0.020004	0.6
43	-0.496013	2.000000	4.351077	0.026591	0.6
44	-0.524240	3.000000	4.169782	0.009616	0.6
45	-0.513552	2.054739	4.340746	0.021456	0.5
46	-0.515217	1.109665	4.526291	0.016785	0.5
47	-0.545134	0.164406	4.728447	0.012382	0.6
48	-0.520419	0.000000	4.765465	0.020177	0.6
49	-0.486842	0.998486	4.549166	0.010576	0.6
50	-0.538073	1.993636	4.352281	0.030136	0.6
51	-0.514258	1.048569	4.538833	0.020827	0.6
52	-0.518429	0.103308	4.742137	0.009220	0.6
53	-0.503031	0.000000	4.765465	0.012002	0.6
54	-0.487368	0.999844	4.548885	0.014099	0.6
55	-0.532849	1.697261	4.409112	0.007607	0.6
56	-0.512994	2.693731	4.223681	0.011431	0.6
57	-0.489947	2.484249	4.261357	0.019688	0.6
58	-0.507833	3.481312	4.087803	0.010983	0.7
59	-0.531087	4.481310	3.927379	0.012348	0.6
60	-0.521602	5.480396	3.779202	0.015440	0.6
61	-0.511807	4.560652	3.915189	0.009016	0.5
62	-0.508335	3.615434	4.065529	0.017149	0.5
63	-0.473117	4.600704	3.909063	0.017072	0.6
64	-0.500813	5.600704	3.762110	0.019999	0.6
65	-0.500799	6.600695	3.625806	0.010053	0.6
66	-0.491482	6.568336	3.630062	0.012710	0.5
67	-0.506407	6.606084	3.625098	0.012750	0.6
68	-0.515113	7.600380	3.499071	0.011453	0.6
69	-0.503518	8.582131	3.382947	0.018985	0.6
70	-0.511306	9.370958	3.295081	0.013343	0.5
71	-0.539255	10.370396	3.190102	0.012391	0.6
72	-0.549982	9.449411	3.286591	0.009552	0.6
73	-0.503179	8.506388	3.391631	0.010315	0.6
74	-0.526080	9.295204	3.303321	0.025448	0.6
75	-0.504132	10.133146	3.214412	0.011016	0.6
76	-0.518736	9.187885	3.315064	0.016835	0.6
77	-0.527062	10.180242	3.209557	0.025070	0.6
78	-0.503002	11.180205	3.109824	0.018620	0.6
79	-0.535282	12.180204	3.016099	0.020145	0.5
80	-0.521008	13.148704	2.930558	0.023858	0.6
81	-0.522339	12.203443	3.013988	0.018611	0.6
82	-0.525756	11.308235	3.097500	0.016909	0.7
83	-0.506651	10.363082	3.190846	0.020240	0.6
84	-0.489350	9.417820	3.290005	0.003136	0.6
85	-0.537728	10.052433	3.222767	0.012283	0.6
86	-0.501582	10.025757	3.225538	0.005511	0.6
87	-0.502168	9.788239	3.250422	0.023459	0.6
88	-0.507092	10.675811	3.159344	0.011840	0.6
89	-0.500252	10.333683	3.193840	0.014797	0.6
90	-0.482856	9.442337	3.287355	0.007059	0.6
91	-0.486323	8.800327	3.358177	0.011108	0.6
92	-0.489863	9.379291	3.294177	0.010789	0.6
93	-0.504247	8.437354	3.399584	0.011630	0.6
94	-0.496468	9.380908	3.294002	0.017383	0.6
95	-0.521393	8.435657	3.399780	0.021764	0.6
96	-0.514545	9.434272	3.288226	0.019849	0.6
97	-0.524525	8.489011	3.393629	0.011725	0.7
98	-0.513648	9.488512	3.282376	0.016415	0.6
99	-0.492494	10.062243	3.221750	0.011220	0.6
100	-0.498183	11.061740	3.121314	0.016852	0.6
101	-0.515631	12.020753	3.030663	0.016061	0.6
102	-0.479928	11.075711	3.119955	0.012178	0.6
103	-0.504718	10.155792	3.212076	0.013059	0.6
104	-0.499233	9.210533	3.312579	0.020784	0.6
105	-0.503328	10.210533	3.206442	0.017457	0.6
106	-0.531564	11.210533	3.106896	0.018031	0.5
107	-0.537015	10.358979	3.191264	0.022950	0.7
108	-0.522196	11.356787	3.092852	0.031650	0.6
109	-0.466329	12.356787	3.000132	0.012490	0.6
110	-0.500173	11.411526	3.087629	0.011388	0.6
111	-0.504378	10.853001	3.141769	0.009990	0.7
112	-0.522940	9.908807	3.237743	0.019131	0.7
113	-0.493060	10.884741	3.138641	0.016994	0.6
114	-0.519887	9.939479	3.234533	0.014954	0.6
115	-0.508047	10.939370	3.133273	0.010768	0.6
116	-0.492181	9.994249	3.228817	0.014448	0.6
117	-0.507187	10.145990	3.213087	0.008471	0.6
118	-0.512879	9.897544	3.238923	0.013829	0.6
119	-0.493230	8.957346	3.340575	0.017639	0.6
120	-0.508932	9.957341	3.232667	0.015507	0.6
121	-0.519975	10.957332	3.131512	0.012835	0.6
122	-0.490338	10.012130	3.226956	0.021889	0.6
123	-0.505402	9.066876	3.328406	0.012719	0.6
124	-0.456518	8.129557	3.435506	0.012266	0.6
125	-0.540797	8.964300	3.339800	0.020495	0.7
126	-0.511863	8.023453	3.448066	0.016753	0.6
127	-0.542824	7.188486	3.550200	0.008691	0.6
128	-0.488398	6.765803	3.604246	0.013692	0.6
129	-0.523320	5.830806	3.729846	0.017113	0.6
130	-0.510781	6.830699	3.595841	0.020780	0.6
131	-0.464752	5.885438	3.722267	0.012639	0.6
132	-0.493884	4.941234	3.857749	0.012948	0.6
133	-0.489107	3.996016	4.003629	0.015969	0.6
134	-0.546400	4.939862	3.857953	0.014006	0.6
135	-0.525370	5.469932	3.780696	0.014030	0.6
136	-0.501914	6.382535	3.654693	0.021474	0.6
137	-0.518209	7.382533	3.525928	0.008830	0.7
138	-0.498292	6.438410	3.647251	0.010526	0.6
139	-0.516637	5.511380	3.774785	0.012866	0.6
140	-0.521377	5.920262	3.717452	0.009742	0.6
141	-0.526478	5.921174	3.717326	0.008478	0.6
142	-0.513830	6.792214	3.600820	0.017700	0.7
143	-0.490406	7.791811	3.475807	0.015807	0.6
144	-0.524004	8.049716	3.444948	0.014390	0.6
145	-0.507088	7.104796	3.560772	0.013335	0.6
146	-0.506423	8.102410	3.438711	0.011814	0.6
147	-0.499568	9.102371	3.324481	0.024807	0.6
148	-0.490258	8.157110	3.432260	0.021142	0.7
149	-0.518600	7.211876	3.547257	0.020687	0.6
150	-0.500805	6.267813	3.670070	0.014022	0.7
151	-0.500616	5.968606	3.710788	0.017202	0.6
152	-0.503035	6.884211	3.588940	0.021206	0.6
153	-0.532468	7.811904	3.473383	0.003477	0.6
154	-0.531619	8.766730	3.361967	0.016905	0.6
155	-0.544963	9.164496	3.317634	0.011032	0.6
156	-0.498199	8.225343	3.424246	0.012270	0.6
157	-0.514770	8.993030	3.336601	0.020160	0.6
158	-0.546870	8.050249	3.444885	0.016051	0.6
159	-0.510942	9.049787	3.330299	0.013987	0.6
160	-0.484950	10.049778	3.223043	0.026103	0.6
161	-0.539926	9.104517	3.324244	0.017971	0.6
162	-0.525842	8.159256	3.432007	0.011836	0.6
163	-0.502843	9.100814	3.324653	0.017023	0.6
164	-0.505378	8.178239	3.429774	0.012115	0.6
165	-0.490733	9.169458	3.317089	0.017583	0.6
166	-0.503554	9.033216	3.332136	0.025019	0.6
167	-0.501513	10.033216	3.224763	0.015233	0.7
168	-0.528879	11.033216	3.124094	0.016309	0.6
169	-0.515283	12.033216	3.029519	0.010346	0.6
170	-0.528201	13.031519	2.940649	0.011272	0.7
171	-0.527609	12.756908	2.964572	0.012823	0.6
172	-0.503008	11.824657	3.048768	0.009984	0.6
173	-0.484895	11.137757	3.113931	0.011415	0.6
174	-0.497084	10.684340	3.158493	0.030597	0.7
175	-0.537993	9.795282	3.249679	0.022256	0.7
176	-0.501293	8.851348	3.352437	0.015576	0.6
177	-0.522556	9.851348	3.243773	0.017921	0.7
178	-0.465424	10.851348	3.141932	0.007338	0.6
179	-0.520904	11.851149	3.046310	0.013162	0.6
180	-0.527030	12.416609	2.994761	0.013516	0.6
181	-0.532872	13.416383	2.907765	0.017573	0.6
182	-0.502286	14.404049	2.826648	0.018898	0.6
183	-0.505904	15.404049	2.749001	0.008757	0.6
184	-0.483507	16.037697	2.701971	0.015007	0.6
185	-0.552072	15.095355	2.772511	0.013953	0.7
186	-0.547647	14.150124	2.847067	0.015339	0.6
187	-0.545325	13.204875	2.925746	0.010347	0.7
188	-0.513596	13.101851	2.934585	0.015661	0.7
189	-0.494589	14.031495	2.856708	0.010735	0.6
190	-0.503208	13.088702	2.935717	0.025514	0.7
191	-0.534551	12.164739	3.017505	0.011708	0.7
192	-0.516068	13.164737	2.929183	0.012799	0.7
193	-0.484742	14.040906	2.855941	0.014343	0.7
194	-0.494899	13.096229	2.935069	0.017572	0.6
195	-0.512673	12.150968	3.018759	0.025832	0.6
196	-0.511402	11.205707	3.107361	0.023565	0.6
197	-0.540398	10.260446	3.201323	0.012873	0.6
198	-0.498406	11.259696	3.102161	0.024062	0.6
199	-0.509583	12.259666	3.008893	0.013744	0.6
200	-0.507459	11.314405	3.096909	0.013339	0.6
201	-0.514834	12.312440	3.004126	0.012512	0.6
202	-0.553055	11.371882	3.091410	0.016355	0.7
203	-0.517381	10.430394	3.184013	0.026418	0.6
204	-0.525672	9.596607	3.270780	0.013741	0.6
205	-0.490974	8.651346	3.375050	0.013531	0.7
206	-0.486260	9.646541	3.265451	0.018801	0.7
207	-0.471475	10.576962	3.169234	0.014434	0.7
208	-0.531918	11.576962	3.071949	0.008137	0.6
209	-0.519209	10.634506	3.163469	0.014205	0.7
210	-0.500572	10.757417	3.151225	0.008592	0.6
211	-0.493771	11.731182	3.057475	0.014622	0.6
212	-0.494926	10.841060	3.142947	0.005207	0.6
213	-0.464129	10.039226	3.224139	0.013902	0.6
214	-0.513741	10.988293	3.128481	0.010962	0.6
215	-0.518607	11.987595	3.033709	0.027538	0.6
216	-0.522680	12.984228	2.944742	0.016886	0.7
217	-0.507989	13.984228	2.860568	0.022674	0.6
218	-0.526972	14.984228	2.781073	0.018679	0.6
219	-0.522329	14.038968	2.856099	0.021616	0.6
220	-0.484788	15.038967	2.776849	0.019774	0.7
221	-0.525582	14.093706	2.851644	0.008351	0.6
222	-0.518892	13.415009	2.907882	0.012223	0.6
223	-0.502198	13.344615	2.913842	0.011146	0.6
224	-0.474522	12.431041	2.993469	0.010818	0.6
225	-0.497693	11.559323	3.073613	0.026360	0.6
226	-0.531955	11.263014	3.101842	0.023515	0.6
227	-0.522364	10.317753	3.195465	0.013830	0.6
228	-0.489298	9.373494	3.294806	0.011758	0.6
229	-0.508602	9.922843	3.236273	0.007422	0.7
230	-0.495370	9.046787	3.330631	0.013553	0.6
231	-0.515127	8.862254	3.351213	0.015308	0.6
232	-0.503935	8.946061	3.341834	0.020964	0.7
233	-0.512382	9.466118	3.284789	0.015528	0.6
234	-0.530265	10.466118	3.180398	0.020893	0.6
235	-0.492376	9.520856	3.278898	0.020152	0.6
236	-0.480233	8.575892	3.383660	0.013461	0.7
237	-0.506182	7.630631	3.495374	0.007170	0.7
238	-0.521481	8.220862	3.424771	0.009377	0.7
239	-0.505954	7.641903	3.493999	0.023980	0.7
240	-0.478397	8.641369	3.376186	0.019286	0.6
241	-0.528815	7.696108	3.487399	0.030976	0.7
242	-0.469678	6.750847	3.606188	0.017146	0.6
243	-0.502787	7.750847	3.480759	0.014441	0.6
244	-0.518682	8.750847	3.363762	0.009641	0.7
245	-0.518561	8.554540	3.386105	0.010590	0.6
246	-0.490050	7.612473	3.497593	0.014987	0.6
247	-0.537040	8.612452	3.379483	0.014922	0.7
248	-0.531153	7.667191	3.490916	0.006449	0.6
249	-0.491104	8.087766	3.440442	0.016569	0.7
